id,value,type
1,80,1
2,65,1
3,58,1
4,76,1
5,65,1
6,86,1
7,91,1
8,83,1
9,97,1
10,75,1
11,92,1
12,96,1
13,87,1
14,70,1
15,99,1
16,80,1
17,90,1
18,98,1
19,87,1
20,88,1
21,92,1
21,75,1
22,86,1
23,64,1
24,55,1
25,72,1
26,77,1
27,81,1
28,76,1
29,93,1
30,72,1
31,72,1
32,81,1
34,76,1
35,83,1
36,61,1
37,64,1
38,65,1
38,79,1
39,81,1
40,72,1
41,59,1
42,72,1
43,85,1
44,75,1
45,10,1
46,45,1
47,95,1
48,68,1
49,84,1
49,82,1
50,81,1
51,88,1
52,63,1
53,76,1
54,77,1
55,82,1
56,87,1
57,90,1
58,69,1
59,76,1
60,58,1
61,75,1
63,82,1
64,92,1
64,85,1
65,92,1
66,80,1
67,59,1
68,74,1
69,76,1
71,78,1
73,86,1
74,13,1
75,73,1
76,48,1
77,94,1
78,54,1
79,86,1
80,78,1
81,82,1
82,68,1
103,48,2
104,46,2
110,46,2
113,32,2
116,24,2
117,45,2
121,59,2
122,49,2
124,21,2
125,59,2
128,79,2
133,46,2
142,69,2
143,54,2
144,53,2
145,55,2
147,59,2
148,30,2
150,35,2
151,67,2
153,61,2
154,58,2
155,69,2
156,37,2
157,69,2
158,26,2
159,61,2
160,26,2
161,49,2
162,60,2
163,50,2
166,71,2
167,55,2
168,84,2
169,87,2
170,56,2
171,76,2
172,56,2
173,56,2
174,54,2
175,59,2
176,24,2
177,77,2
180,62,2
181,52,2
182,41,2